Tab,Category,Menu Item (click link for Sony Help Guide),Sub Menu Item,Comments/Defaults
My Menu,My Menu 1,,,
My Menu,My Menu 2,,,
My Menu,My Menu 3,,,
My Menu,My Menu Setting,,,
Camera 1,Quality / Image Size1,APS-C/Super 35mm,APS-C S35 Shooting,
Camera 1,Quality / Image Size1,APS-C/Super 35mm,APS-C S35 Shooting:Manual,
Camera 1,Quality / Image Size1,Aspect Ratio (still image),,
Camera 1,Quality / Image Size1,File Format (still image),,
Camera 1,Quality / Image Size1,JPEG Image Size (still image),,
Camera 1,Quality / Image Size1,JPEG Quality (still image),,
Camera 1,Quality / Image Size1,RAW File Type (still image),,
Camera 1,Quality / Image Size2,Color Space (still image),,
Camera 1,Quality / Image Size2,High ISO NR (still image),,
Camera 1,Quality / Image Size2,Lens Comp.,Lens Comp. -Shading,
Camera 1,Quality / Image Size2,Lens Comp.,Lens Comp. CA,
Camera 1,Quality / Image Size2,Lens Comp.,Lens Comp. Dist,
Camera 1,Quality / Image Size2,Long Exposure NR (still image),,
Camera 1,Shoot Mode/Drive1,Bracket Settings,Selftimer during Bracketing,
Camera 1,Shoot Mode/Drive1,Bracket Settings,Bracket Order,
Camera 1,Shoot Mode/Drive1,Drive Mode,Drive Mode opt,
Camera 1,Shoot Mode/Drive1,Memory (Camera Settings 1 & 2),,"Save Settings to Dial C1,2,3 or Card M1,2,3,4 "
Camera 1,Shoot Mode/Drive1,Px. Shift Multi Shoot,,
Camera 1,Shoot Mode/Drive1,Px. Shift Multi Shoot,Pixel Shift Options,
Camera 1,Shoot Mode/Drive1,Recall (Camera Settings 1 & 2),,
Camera 1,Shoot Mode/Drive1,Select Media(Memory recall),,
Camera 1,Shoot Mode/Drive2,Registering shooting settings to a custom key (Reg Cust Shoot Set),,
Camera 1,AF1,Focus Area,Focus Area Options,
Camera 1,AF1,Focus Mode,,
Camera 1,AF1,Focus Settings,,
Camera 1,AF1,Priority Set in AF-C,,
Camera 1,AF1,Priority Set in AF-S,,
Camera 1,AF1,Swt. V/H AF Area,,
Camera 1,AF2,AF Illuminator (still image),,
Camera 1,AF2,AF System(still image),,
Camera 1,AF2,AF Track Sens(still image),,
Camera 1,AF2,AF w/ shutter (still image),,
Camera 1,AF2,Center Lock-on AF,,
Camera 1,AF2,Set. Face Prty in AF,Face Priority in AF,
Camera 1,AF2,Set. Face Prty in AF,Face Dtct Frame Dsp,
Camera 1,AF3,AF Area Auto Clear,,
Camera 1,AF3,AF Area Regist,,
Camera 1,AF3,Del. Reg. AF Area,,
Camera 1,AF3,Disp. cont. AF area,,
Camera 1,AF3,Eye-Start AF (still image),,
Camera 1,AF3,Pre-AF (still image),,
Camera 1,AF4,AF Micro Adj.,,
Camera 1,AF4,Aperture Drive in AF,,
Camera 1,AF4,Phase Detect. Area,,
Camera 1,Exposure1,Exposure Comp.,,
Camera 1,Exposure1,Face Prty in Mlti Mtr,,
Camera 1,Exposure1,ISO,ISO options,
Camera 1,Exposure1,ISO AUTO Min. SS,ISO Auto Opt.,
Camera 1,Exposure1,Metering Mode,Metering Mode Spot Option,
Camera 1,Exposure1,Reset EV Comp.,,
Camera 1,Exposure2,AEL w/ shutter (still image),,
