level0,level1,level2,level3,level4,level5,level6,level7,Comment/help
Playback,Delete,,,,,,,"Delete multiple images. For more information, see “Deleting Multiple Pictures” (Deleting Multiple Pictures)"
Playback,Delete,Selected images,,,,,,Delete selected pictures
Playback,Delete,Images shot on selected dates,,,,,,"Delete multiple images. For more information, see “Deleting Multiple Pictures” (Deleting Multiple Pictures). Delete selected pictures."
Playback,Delete,All images,,,,,,"Delete multiple images. For more information, see “Deleting Multiple Pictures” (Deleting Multiple Pictures). Delete selected pictures."
Playback,Playback folder,,,,,,,Choose a folder for playback. Pictures in all folders with the selected name will be visible during playback. Folders can be renamed using the [Storage folder] > [Rename] option in the photo shooting menu.
Playback,Playback folder,Storage folder,,,,,,Choose a folder for playback. Pictures in all folders with the selected name will be visible during playback. Folders can be renamed using the [Storage folder] > [Rename] option in the photo shooting menu.
Playback,Playback folder,All,,,,,,Pictures in all folders will be visible during playback.
Playback,Playback folder,Current,,,,,,Only pictures in the current folder will be visible during playback.
Playback,Playback display options,,,,,,,Choose whether the focus points used when the photograph was taken are displayed during full-frame playback. You can also choose the types of photo information that can be viewed during full-frame playback.
Playback,Dual-format recording PB slot,,,,,,,Choose the slot from which dual-format pictures recorded with [RAW primary - JPEG secondary] selected for [Secondary slot function] in the photo shooting menu are played back. D The Playback Menu: Managing Images.
Playback,Image review,,,,,,,Choose whether pictures are automatically displayed in the monitor immediately after shooting.
Playback,Image review,On,,,,,,Pictures appear in the currently-selected display (monitor or viewfinder) as they are taken.
Playback,Image review,On (monitor only),,,,,,Pictures are displayed after shooting only when the monitor is used to frame shots. Pictures are not displayed in the viewfinder when [Viewfinder only] is selected for monitor mode.
Playback,Image review,Off,,,,,,Pictures can only be viewed by pressing the K button.
Playback,After delete,,,,,,,Choose the picture displayed after an image is deleted.
Playback,After delete,Show next,,,,,,Choose the picture displayed after an image is deleted. The following picture is displayed.
Playback,After delete,Show previous,,,,,,Choose the picture displayed after an image is deleted. The following picture is displayed.
Playback,After delete,Continue as before,,,,,,"If you were scrolling through pictures in the order recorded, the following picture will be displayed as described for [Show next]. If you were scrolling through pictures in reverse order, the next picture will be displayed as described for [Show previous]"
Playback,"After burst, show",,,,,,,Choose whether the photo displayed immediately after a burst of shots is taken in continuous mode is the first or last shot in the burst.
Playback,Rotate tall,,,,,,,"When [On] is selected, “tall” (portrait-orientation) pictures will be automatically rotated for display during playback. Images are not rotated automatically during image review even when [On] is selected for [Rotate tall]."
Playback,Copy image(s),,,,,,,Copy pictures from one memory card to another when two memory cards are inserted. Choose the card from which pictures will be copied.
Playback,Copy image(s),Select source,,,,,,Choose the card from which pictures will be copied.
Playback,Copy image(s),Select image(s),,,,,,Select pictures to be copied.
Playback,Copy image(s),Select destination folder,,,,,,Select the destination folder on the remaining card (the card not selected for [Select source])
Playback,Copy image(s),Copy image(s)?,,,,,,Copy the pictures.
Playback,Slide show,,,,,,,View a slide show; pictures are displayed in the order recorded. The pictures in the folder currently selected for [Playback folder] (Playback Folder) will be displayed one-by-one in the order recorded.
Playback,Slide show,Start,,,,,,Start the slide show.
Playback,Slide show,Image type,,,,,,Choose the type of picture displayed. Select to view only pictures with selected ratings. Highlight ratings and press 2 to select (M) or deselect (U)
Playback,Slide show,Frame interval,,,,,,Choose how long each picture will be displayed.
Playback,Rating,,,,,,,Highlight pictures using the multi selector 4 or 2
Photo Shooting,Reset photo shooting menu,,,,,,,Restore photo shooting menu options to their default values. Photo shooting menu reset is not available while a multiple exposure is in progress.
Photo Shooting,Storage folder,,,,,,,Choose the folder in which subsequent pictures will be stored.
Photo Shooting,File naming,,,,,,,Pictures are saved using file names consisting of “DSC_” followed by a four-digit number and a three-letter extension. [File naming] is used to select three letters to replace the “DSC” portion of the file name.
Photo Shooting,Primary slot selection,,,,,,,Choose the slot that serves as the primary slot when memory cards are inserted in both the CFexpress/XQD and SD memory card slots
Photo Shooting,Primary slot selection,The CFexpress/XQD memory card slot serves as the primary slot.,,,,,,
Photo Shooting,Primary slot selection,The SD memory card slot serves as the primary slot.,,,,,,
Photo Shooting,Secondary slot function,,,,,,,Video Tutorial: Dual Card Slots Choose the role played by the card in the secondary slot when two memory cards are inserted in the camera.
Photo Shooting,Secondary slot function,Overflow,,,,,,Video Tutorial: Dual Card Slots Choose the role played by the card in the secondary slot when two memory cards are inserted in the camera.
Photo Shooting,Secondary slot function,Backup,,,,,,Video Tutorial: Dual Card Slots Choose the role played by the card in the secondary slot when two memory cards are inserted in the camera.
Photo Shooting,Secondary slot function,RAW primary - JPEG secondary,,,,,,"NEF (RAW) copies of photos taken at settings of NEF (RAW) + JPEG are recorded only to the card in the primary slot, JPEG copies only to the card in the secondary slot. Pictures taken at other image quality settings are recorded twice at the same setting, once to the card in the primary slot and again to the card in the secondary slot"
Photo Shooting,Choose image area,,,,,,,Record pictures in FX format with an angle of view equivalent to a 35 mm format camera. Use this option when taking photographs with NIKKOR lenses for 35 mm format cameras
Photo Shooting,Choose image area,FX (36×24),,,,,,Record pictures in FX format with an angle of view equivalent to a 35 mm format camera. Use this option when taking photographs with NIKKOR lenses for 35 mm format cameras
Photo Shooting,Choose image area,DX (24×16),,,,,,"Images are recorded in DX format. To calculate the approximate focal length of the lens in 35 mm format, multiply by 1.5. Image-area selection is fixed at [DX (24×16)] when a DX lens is attached"
Photo Shooting,Choose image area,5:4 (30×24),,,,,,Pictures are recorded with an aspect ratio of 5:4. Available only with Z 7II
Photo Shooting,Choose image area,1:1 (24×24),,,,,,Pictures are recorded with an aspect ratio of 1:1
Photo Shooting,Choose image area,16:9 (36×20),,,,,,Pictures are recorded with an aspect ratio of 16:9
Photo Shooting,Image quality,,,,,,,"Choose a file format for photographs. For more information, see “The i Menu” under “Image Quality” (Image Quality)"
Photo Shooting,Image size,,,,,,,"Choose the size, in pixels, of pictures recorded with the camera. Select [JPEG] to choose the size of JPEG images, [NEF (RAW)] to choose the size of NEF (RAW) images. Note that image size varies with the option selected for image area."
Photo Shooting,NEF (RAW) recording,,,,,,,NEF (RAW) images are recorded at a bit depth of 12 bits. NEF (RAW) images are recorded at a bit depth of 14 bits. Files recorded at a bit depth of 14 bits contain more color data than pictures recorded using [12-bit]. Files recorded at a bit depth of 14 bits are also larger than pictures recorded using [12-bit].
Photo Shooting,NEF (RAW) recording,Lossless compressed,,,,,,NEF pictures are compressed using a reversible algorithm. The resulting files are about 60% to 80% the size of pictures recorded using [Uncompressed]. Image quality is the same as pictures recorded using [Uncompressed]
Photo Shooting,NEF (RAW) recording,Compressed,,,,,,NEF images are compressed using a non-reversible algorithm. The resulting files are about 45% to 65% the size of pictures recorded using [Uncompressed]. Image quality is nearly the same as pictures recorded using [Uncompressed]
Photo Shooting,NEF (RAW) recording,Lossless compressed,,,,,,NEF pictures are not compressed; the resulting files are larger than those for pictures recorded using or [Compressed]
Photo Shooting,NEF (RAW) recording,12-bit,,,,,,NEF (RAW) images are recorded at a bit depth of 12 bits. NEF (RAW) images are recorded at a bit depth of 14 bits. Files recorded at a bit depth of 14 bits contain more color data than pictures recorded using [12-bit]. Files recorded at a bit depth of 14 bits are also larger than pictures recorded using [12-bit].
Photo Shooting,NEF (RAW) recording,14-bit,,,,,,NEF (RAW) images are recorded at a bit depth of 14 bits. Files recorded at a bit depth of 14 bits contain more color data than pictures recorded using [12-bit]. Files recorded at a bit depth of 14 bits are also larger than pictures recorded using [12-bit]
Photo Shooting,ISO sensitivity settings,,,,,,,"Choose from the following settings.Z 7II: Choose from settings of ISO 64 to 25600; the camera also supports settings below ISO 64 by about 0.3, 0.5, 0.7, and 1 EV (ISO 32 equivalent) and above ISO 25600 by"
Photo Shooting,ISO sensitivity settings,"Choose from the following settings.Z 7II: Choose from settings of ISO 64 to 25600; the camera also supports settings below ISO 64 by about 0.3, 0.5, 0.7, and 1 EV (ISO 32 equivalent) and above ISO 25600 by about 0.3, 0.5, 0.7, 1, and 2 EV (ISO 102400 equivalent).Z 6II: Choose from settings of ISO 100 to 51200; the camera also supports settings below ISO 100 by about 0.3, 0.5, 0.7, and 1 EV (ISO 50 equivalent) and above ISO 51200 by about 0.3, 0.5, 0.7, 1, and 2 EV (ISO 204800 equivalent). b offers an ISO AUTO option.",,,,,,
Photo Shooting,ISO sensitivity settings,On,,,,,,"Highlight and press J to enable auto ISO sensitivity control. If [Off] is selected, [ISO sensitivity] will remain fixed at the value selected by the user. The following options are available when is selected. [Maximum sensitivity]: Choose an upper limit for ISO sensitivity to prevent it being raised too high. [Maximum sensitivity with c]: Choose the upper ISO sensitivity limit for photos taken using an optional flash unit. [Minimum shutter speed]: Choose the shutter speed below which auto ISO sensitivity control will kick in to prevent underexposure in modes P and A. If [Auto] is selected, the camera will choose the minimum shutter speed based on lens focal length. For example, the camera will automatically choose faster minimum shutter speeds to prevent blur caused by camera shake when a long lens is attached. To view auto shutter-speed selection options, highlight [Auto] and press 2. Auto shutter-speed selection can be fine-tuned by choosing faster or slower minimums. Faster settings can be used to reduce blur when photographing fast-moving subjects. Shutter speeds may drop below the selected minimum if optimal exposure cannot be achieved at the ISO sensitivity chosen for [Maximum sensitivity]"
Photo Shooting,White balance,,,,,,,"Adjust white balance to match the color of the light source. For more information, see “Basic Settings” under “White Balance” (White Balance) and “The i Menu” under “White Balance” (White Balance)"
Photo Shooting,Set Picture Control,,,,,,,"Choose image processing (“Picture Control”) options for new photos according to the scene or your creative intent. For more information, see “The i Menu” under “Set Picture Control” (Set Picture Control)"
Photo Shooting,Manage Picture Control,,,,,,,Save modified Picture Controls as custom Picture Controls (Manage Picture Control). 1 The Movie Shooting Menu: Movie Shooting Options.
Photo Shooting,Manage Picture Control,"Create a new custom Picture Control based on an existing preset or custom Picture Control, or edit existing custom Picture Controls.",,,,,,
Photo Shooting,Manage Picture Control,Rename custom Picture Controls.,,,,,,
Photo Shooting,Manage Picture Control,Delete custom Picture Controls.,,,,,,
Photo Shooting,Manage Picture Control,Copy custom Picture Controls to and from the memory card.,,,,,,
Photo Shooting,Color space,,,,,,,"The color space determines the gamut of colors available for color reproduction. [sRGB] is recommended for general-purpose printing and display. With a broader gamut of colors than [sRGB], [Adobe RGB] is a better choice for professional publication and commercial printing. The selected color space may be overwritten when pictures are opened in third-party software. NX Studio can open pictures in the color space selected on the camera."
Photo Shooting,Active D-Lighting,,,,,,,"Note that if [Same as photo settings] is selected for Active D-Lighting in the movie shooting menu and [Auto] is selected in the photo shooting menu, movies will be shot at a setting equivalent to [Normal]. 1 The Movie Shooting Menu: Movie Shooting Options."
Photo Shooting,Active D-Lighting,Auto,,,,,,"Note that if [Same as photo settings] is selected for Active D-Lighting in the movie shooting menu and [Auto] is selected in the photo shooting menu, movies will be shot at a setting equivalent to [Normal]. 1 The Movie Shooting Menu: Movie Shooting Options."
Photo Shooting,Active D-Lighting,Extra high,,,,,,"Choose the amount of Active D-Lighting performed from [Extra high], [High], [Normal], and [Low]"
Photo Shooting,Active D-Lighting,High,,,,,,
Photo Shooting,Active D-Lighting,Normal,,,,,,
Photo Shooting,Active D-Lighting,Low,,,,,,
Photo Shooting,Active D-Lighting,Off,,,,,,Active D-Lighting off
Photo Shooting,Long exposure NR,,,,,,,"Long-exposure noise reduction is performed after the photo is taken. During processing, the message, “[Performing noise reduction]” will appear in the shooting display and “Job NR” will flash in the control panel. Pictures cannot be taken until the message has"
Photo Shooting,Long exposure NR,Reduce noise in photographs taken at shutter speeds slower than 1 s.,,,,,,
Photo Shooting,Long exposure NR,Long-exposure noise reduction disabled.,,,,,,
Photo Shooting,High ISO NR,,,,,,,Photographs taken at high ISO sensitivities can be processed to reduce “noise” (randomly-spaced bright pixels)
Photo Shooting,High ISO NR,High,,,,,,"Reduce noise in photographs taken at all ISO sensitivities. The higher the sensitivity, the greater the effect. Choose the amount of noise reduction performed from , [Normal], and [Low]"
Photo Shooting,High ISO NR,Low,,,,,,Reduce “noise” (randomly-spaced bright pixels) in movies recorded at high ISO sensitivities (High ISO NR). 1 The Movie Shooting Menu: Movie Shooting Options.
Photo Shooting,Vignette control,,,,,,,Reduce vignetting in movies. Select [Same as photo settings] to use the option currently selected for photos (Vignette Control). 1 The Movie Shooting Menu: Movie Shooting Options.
Photo Shooting,Vignette control,High,,,,,,"Choose the amount of vignette control performed from (in order from high to low) [High], [Normal], and [Low]"
Photo Shooting,Vignette control,Normal,,,,,,
Photo Shooting,Vignette control,Low,,,,,,
Photo Shooting,Vignette control,Vignette control disabled.,,,,,,
Photo Shooting,Diffraction compensation,,,,,,,Select [On] to reduce diffraction at small apertures (high f-numbers)
Photo Shooting,Auto distortion control,,,,,,,"Select [On] as required to reduce barrel distortion when shooting with wide-angle lenses and to reduce pin-cushion distortion when shooting with long lenses. Note that [On] may be selected automatically with some lenses, in which case this item will be"
Photo Shooting,Flicker reduction shooting,,,,,,,"When [On] is selected, reduce the effects of flicker from such light sources as fluorescent or mercury-vapor lamps. Flicker can cause uneven exposure or (in photographs taken in continuous release modes) inconsistent exposure or coloration."
Photo Shooting,Metering,,,,,,,"Metering determines how the camera sets exposure. For more information, see “The i Menu” under “Metering” (Metering)"
Photo Shooting,Flash control,,,,,,,"Adjust settings for wireless remote flash units or optional flash units mounted on the camera accessory shoe. For information on adjusting settings for optional flash units mounted on the camera accessory shoe, see “On-Camera Flash Photography” (On-Camera Flash Photography)."
Photo Shooting,Flash control,Flash output is adjusted automatically in response to shooting conditions.,,,,,,
Photo Shooting,Flash control,Light from the flash is reflected from the subject to an auto external flash sensor and flash output adjusted automatically.,,,,,,
Photo Shooting,Flash control,Choose the distance to the subject; flash output will be adjusted automatically.,,,,,,
Photo Shooting,Flash control,Choose the flash level manually.,,,,,,
Photo Shooting,Flash control,"The flash fires repeatedly while the shutter is open, producing a multiple-exposure effect.",,,,,,
Photo Shooting,Flash control,Optical AWL,,,,,,The remote flash units are controlled using low-intensity flashes emitted by the master flash (Optical AWL)
Photo Shooting,Flash control,Optical/radio AWL,,,,,,Choose this option when using both optically- and radio-controlled flash units (Optical/Radio AWL)
